click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
0,42.0,8.3,4521,1920,1915,632,45,9,4960,267,982
1,21.0,8.8,4209,2309,1505,370,21,4,5088,198,2057
0,26.0,8.8,1732,851,704,168,8,1,5515,298,7559
0,36.0,8.9,504,319,154,27,3,1,542,83,261
0,20.8,7.9,1026,312,467,209,29,9,8705,57,357
0,158.0,9.4,453,331,105,17,0,0,410,187,2604
0,20.0,8.6,24177,10421,10251,3312,169,24,35571,736,11280
1,98.0,8.5,1677,741,701,194,33,8,1488,1228,13197
0,82.0,8.9,66,42,18,6,0,0,69,48,1338
1,23.0,8.5,2830,1087,1421,300,14,8,3407,382,3884
1,168.0,7.8,8951,3046,3574,1894,339,98,9141,899,10369
1,42.0,8.5,49196,21920,21625,5062,442,147,56185,6390,81393
1,42.0,8.7,2774,1288,1149,302,30,5,2902,369,7890
0,110.0,9.2,1046,660,299,75,7,5,916,433,4008
0,58.0,8.8,107906,66537,32188,8533,540,108,147098,863,12798
1,29.5,9.0,9426,5901,2913,556,47,9,10374,914,21728
1,16.99,9.1,4439,2768,1415,235,13,8,4835,903,4823
1,58.0,8.7,2446,1245,892,239,48,22,2620,1010,20822
1,35.0,8.1,1439,458,692,255,33,1,1518,125,3140
1,18.0,9.0,50261,29525,17273,3213,200,50,62434,5053,75427
1,49.8,8.7,4927,2481,1876,502,54,14,6315,1121,46276
1,45.0,9.0,1165,674,398,75,11,7,1194,138,1076
0,45.0,7.2,1718,311,722,576,84,25,1857,85,1933
0,58.0,8.5,4838,2160,1947,620,87,24,5039,674,17254
0,58.0,8.3,105,44,53,7,0,1,233,35,1806
0,18.0,8.3,56645,20789,25547,9460,736,113,75317,2952,54817
0,36.0,8.9,1309,769,434,98,6,2,1410,219,4316
1,32.0,9.1,36439,22799,11417,2006,145,72,50901,3012,25375
1,26.0,8.9,3892,2344,1246,284,15,3,4314,122,5025
0,28.0,8.7,4594,2373,1813,367,32,9,4569,847,13033
0,12.0,9.1,4206,2664,1283,235,16,8,5642,180,1196
0,19.5,8.5,21629,8760,10296,2422,108,43,25536,732,19183
1,19.8,8.6,4318,1996,1741,518,51,12,5640,952,9871
1,28.0,9.0,1705,1007,576,104,13,5,1979,483,5465
1,49.9,6.5,208,39,50,85,33,1,213,30,485
1,9.99,9.3,5545,3918,1374,232,16,5,6248,660,2624
1,8.8,7.8,30028,6546,15375,7837,240,30,45575,358,4112
0,58.0,8.5,251,100,119,27,5,0,288,48,1725
0,24.0,8.7,18205,8502,7428,2039,182,54,22469,2503,23559
0,38.0,8.7,2859,1457,1066,280,42,14,3049,694,6045
0,34.0,8.5,9971,4637,4029,1147,109,49,11908,1420,12990
1,17.0,8.0,3540,903,1707,832,81,17,4485,330,3846
0,45.0,8.8,43284,24240,15193,3506,216,129,53522,8988,65124
0,88.0,9.2,1030,685,287,52,5,1,995,328,5857
1,32.0,9.3,5754,4230,1318,184,17,5,6299,362,4464
0,32.0,8.7,1483,650,696,129,7,1,1567,180,6912
0,68.0,8.1,50,18,20,12,0,0,61,20,577
1,38.0,8.3,1432,548,667,203,12,2,1666,184,6322
0,16.0,8.2,56095,16660,29507,9143,617,168,71375,9769,58439
0,69.0,8.4,4540,2813,1397,299,22,9,4547,414,2555
